versions	packageCount	classCount	elegance	singleClassPackages	maximumClassConcentration	dependencyCount	cbo	aff	eff	mq	evm	lcom5
jhotdraw-7.4.1	65	1186	34.722207821167295	7	259	4490	3.6615384615384614	19.184615384615384	10.892307692307693	25.991775079565322	-46068	0.8275881327342858
jhotdraw-7.5.1	68	1193	33.85889136137587	8	255	4566	3.676470588235294	18.647058823529413	10.735294117647058	27.448144001661802	-45471	0.8113492664846311
jhotdraw-7.6.0	67	1195	34.07174038676109	8	255	4533	3.5522388059701493	18.44776119402985	10.626865671641792	27.39997783468885	-45531	0.8086681737920525
jhotdraw-8.0.0	67	1195	34.07174038676109	8	255	4533	3.5522388059701493	18.44776119402985	10.626865671641792	27.39997783468885	-45531	0.8086681737920525
junit-2.00.0	4	38	8.558621384311845	0	24	84	0.75	2.5	2.25	2.2474151049592463	-222	0.7040502070393375
junit-2.01.0	4	38	8.558621384311845	0	24	95	0.75	2.5	2.25	2.2630037272894414	-200	0.6990683229813665
junit-3.02.0	6	88	13.424687043734846	1	41	218	1.1666666666666667	5.5	5.833333333333333	2.84934508216242	-950	0.8741083306936966
junit-3.04.0	7	78	11.28119258422836	2	36	205	1.2857142857142858	4.714285714285714	5.285714285714286	2.936001619602259	-669	0.8513961038961039
junit-3.05.0	7	100	15.898915378228843	2	51	277	1.2857142857142858	6.142857142857143	6.428571428571429	2.929417753202057	-1307	0.8755499108734401
junit-3.06.0	7	103	15.699993500583602	2	50	280	1.4285714285714286	6.142857142857143	6.571428571428571	2.951696135083642	-1323	0.8800607362562249
junit-3.07.0	7	99	15.569462523327713	2	50	274	1.4285714285714286	6.142857142857143	6.571428571428571	2.9214804473289484	-1259	0.875373840445269
junit-3.08.0	6	101	15.539376506868681	0	50	275	1.5	7.333333333333333	7.5	3.0167401315789473	-1278	0.8200092367949511
junit-3.08.1	6	100	15.184055965240498	0	49	276	1.5	7.333333333333333	7.5	3.0259369819726483	-1229	0.8184546604189462
junit-3.08.2	6	102	15.491933384829668	0	50	278	1.5	6.833333333333333	7.5	3.09919756341563	-1286	0.8245358015000872
junit-4.00.0	11	92	4.7915214374925235	0	17	341	2.5454545454545454	8.545454545454545	8.454545454545455	3.804324122345733	-235	0.8113540870893814
junit-4.01.0	11	96	4.9376274960001	0	18	359	2.5454545454545454	8.636363636363637	8.454545454545455	3.9824764090086577	-249	0.8103636633716849
junit-4.02.0	12	98	5.351531452667441	1	19	362	2.4166666666666665	8.083333333333334	7.833333333333333	3.9540801283695854	-267	0.8112080202531934
junit-4.03.1	12	99	5.3091901453988255	1	19	370	2.6666666666666665	8.333333333333334	8.083333333333334	3.9963558386249094	-266	0.8073802690570211
junit-4.04.0	20	154	4.960846701924986	0	21	571	2.8	7.4	8.35	6.8215124358722035	-396	0.7643253437738732
junit-4.05.0	26	188	4.635213813902409	2	18	702	3.3461538461538463	8.307692307692308	8.615384615384615	7.380093819964025	-447	0.7994659922049628
junit-4.06.0	28	204	4.510758115384842	2	18	779	3.5	8.892857142857142	8.785714285714286	8.504945977913783	-466	0.7863910191116074
junit-4.07.0	29	225	4.796947106835643	2	18	839	3.6551724137931036	9.241379310344827	9.10344827586207	9.023270981333807	-600	0.7873166503068464
junit-4.08.0	30	230	4.74224513167433	2	18	853	3.6666666666666665	9.1	9.0	9.659886483249986	-602	0.782412484224459
junit-4.08.1	30	230	4.74224513167433	2	18	853	3.6666666666666665	9.1	9.0	9.659886483249986	-602	0.782412484224459
junit-4.09.0	31	250	5.242109178263711	2	19	883	3.7096774193548385	9.483870967741936	9.161290322580646	9.45316601944232	-797	0.8154919075918328
junit-4.10.0	31	252	5.326391597561367	2	20	889	3.7419354838709675	9.612903225806452	9.193548387096774	9.44134752041312	-822	0.8158869652464185
junit-4.11.0	28	233	5.757315665609224	2	20	766	3.857142857142857	9.642857142857142	8.714285714285714	8.668989730520659	-847	0.8063131640263097
junit-4.12.0	30	286	6.525505514687903	2	27	1027	3.966666666666667	11.233333333333333	9.566666666666666	10.933470321636717	-1137	0.7811813659848269
junit-4.12.1	30	268	6.098815914221018	2	25	940	3.9	10.466666666666667	9.166666666666666	10.810995106694184	-963	0.775474704450545
junit-4.12.2	30	283	6.453336776858585	2	27	1012	3.966666666666667	11.133333333333333	9.566666666666666	10.91330453123041	-1114	0.7795010030041543
junit-4.12.3	30	286	6.525505514687903	2	27	1027	3.966666666666667	11.233333333333333	9.566666666666666	10.933470321636717	-1137	0.7811813659848268
junit-4.13.0	32	348	7.708558555268294	3	28	1283	4.125	12.5	10.46875	12.779236266252658	-1729	0.7861799046356537
